web-scraper-order,web-scraper-start-url,link,link-href,title,text
"1529176051-65","http://zelda.wikia.com/wiki/Category:Books","An Ancient Text","http://zelda.wikia.com/wiki/An_Ancient_Text","An Ancient Text","[]"
"1529175925-14","http://zelda.wikia.com/wiki/Category:Books","Sorceress Tome","http://zelda.wikia.com/wiki/Sorceress_Tome","Sorceress Tome","[]"
"1529176030-55","http://zelda.wikia.com/wiki/Category:Books","Camera Manual","http://zelda.wikia.com/wiki/Camera_Manual","Camera Manual","[]"
"1529175921-12","http://zelda.wikia.com/wiki/Category:Books","Stamp Book","http://zelda.wikia.com/wiki/Stamp_Book","Stamp Book","[]"
"1529175937-20","http://zelda.wikia.com/wiki/Category:Books","Secrets Of The Whirling Blade","http://zelda.wikia.com/wiki/Secrets_Of_The_Whirling_Blade","Secrets Of The Whirling Blade","[]"
"1529175940-21","http://zelda.wikia.com/wiki/Category:Books","Sealing Tome","http://zelda.wikia.com/wiki/Sealing_Tome","Sealing Tome","[]"
"1529175972-35","http://zelda.wikia.com/wiki/Category:Books","Learn to Like Your Like Like: A Good Guide to A Bad Pet","http://zelda.wikia.com/wiki/Learn_to_Like_Your_Like_Like:_A_Good_Guide_to_A_Bad_Pet","Learn to Like Your Like Like: A Good Guide to A Bad Pet","[]"
"1529175909-7","http://zelda.wikia.com/wiki/Category:Books","The Old Man's Diary","http://zelda.wikia.com/wiki/The_Old_Man%27s_Diary","The Old Man's Diary","[{""text"":""\""On this desolate plateau, the only pleasure that brings me comfort is cooking. And today, I outdid myself! Truly, I created the perfect dish. I call it... spicy meat and seafood fry. This recipe not only restores health, but it also keeps me warm, even when traveling in the snowy mountains. With this dish on my side, I no longer have need of that itchy warm doublet.\""""},{""text"":""\""I do not know how I allowed this to happen, but it seems I forgot to write down a very important recipe. I know it contained raw meat and spicy peppers. However... I simply cannot remember what else I used! My age is catching up to me.\""""},{""text"":""\""Sadly, on this lonely plateau, I have only my own knowledge and memory to rely on. Still... If I did find someone who knew the missing ingredient, I would happily reward them with my warm doublet. However, it seems unlikely that such a miraculous wish will ever be fulfilled.\""""},{""text"":""\""To my surprise and delight, I did happen upon someone who was able to re-create my spicy meat and seafood fry. I gave him my warm doublet, and I was happy to do so. He is a fine young man with great potential, that one.\""""},{""text"":""\""Ah, and I will now write down this perfect recipe so that I will never forget it. Place some raw meat, spicy pepper, and hyrule bass in a pot, and then turn up the heat. Voilà!\""""},{""text"":""\""Eating this dish allows you to walk the snowy mountains with ease, though I did forget there's a time limit on the effect. It is too bad I already gave away that warm doublet, which keeps you warm no matter how long you wear it.\""""},{""text"":""\""Link... Bit by bit, you may come to realize who I am. I am sorry for not revealing my true identity to you sooner. The truth is, after you awoke from your long Slumber of Restoration, I did not know how to tell you all there was to say.\""""},{""text"":""\""Perhaps deceiving you was not the right thing to do. Still...you must admit I put on a great performance! But all joking aside...what I ask of you is of the utmost importance, dear hero. I implore you, with all my heart... defeat Calamity Ganon and save my precious daughter, Zelda. I understand this is no simple task I am asking of you, but I know beyond a shadow of a doubt that you can do it. I do not doubt it for a moment. I see courage in your eyes, just as I did 100 years ago. I believe in you, Link.\""""}]"
"1529175954-27","http://zelda.wikia.com/wiki/Category:Books","Paya's Diary","http://zelda.wikia.com/wiki/Paya%27s_Diary","Paya's Diary","[{""text"":""\""Grandmother says she conspired with Princess Zelda and Auntie Purah 100 years ago. They decided to put a lone swordsman into a long sleep so as to prepare for a time that was foretold in legends. The name of that swordsman... is Link. Since then, Grandmother has been waiting for him to reappear after all this time. I, too, pray that he awakens soon. For the sake of Hyrule... and for Grandmother's sake as well.\""""},{""text"":""\""After sleeping for ages, Master Link has finally awoken. It seems his memory is completely gone... But that hardly mattered to Grandmother. I believe this is the first time I've ever seen her quite so happy. Master Link himself looks so gallant... He is the very picture of the hero I always imagined. His blond sideburns flow like a golden waterfall over his dignified, pointy ears. And the way his hair is so perfectly parted to the side, wow! I don't know why, but my heart won't stop beating a mile a minute... \""""},{""text"":""\""I must admit that I'm still not great at interacting with young men. But I think I am finally able to speak to Master Link while looking him in the eyes! Those wonderful eyes... Naturally I still get a little embarrassed... but I can't help it! I always follow his gorgeous gaze with my own. I blame his beautiful blue eyes. Ugh. This is all so strange...\""""},{""text"":""\""I wonder if Master Link is in love with Princess Zelda... If so, I think they suit each other quite splendidly. If they became a couple, I'd give that pairing my full support. Though just the thought of that makes my heart hurt... I wonder if I'm coming down with something. I'll ask Grandmother for some medicine tomorrow.\""""},{""text"":""\""When I asked Grandmother for some medicine, she just sat there with a grin on her face. I went to Cado and Dorian to ask them what that meant, but they just grinned at me too. In the end, I wasn't able to get any medicine...\""""},{""text"":""\""I spoke to Grandmother about what's been weighing on my mind lately. For the first time... my heart know what it means to love. Though it may be a love that is never shared or returned, just having it for myself is gift enough. Seeing him brings me great joy... I bet he has that effect on everyone. I have only gratitude toward him for showing me what it's like to feel this way about someone.\""""}]"
"1529175914-9","http://zelda.wikia.com/wiki/Category:Books","The Diary of Revali","http://zelda.wikia.com/wiki/The_Diary_of_Revali","The Diary of Revali","[{""text"":""\""I won another archery competition today. As one would expect, the village can't stop talking about my winning streak. In short order, I've managed to break all of the previous records and set an insurmountably high bar. Everywhere I go I receive praise and affirmations that I am the pride of the Rito. I...could get used to this. The elder asked me what I would like as a prize for my achievements. I told him I wish for an archery training ground. If I am to keep this up, I need somewhere to train at varying elevations. I'm hoping to master a new move I've dreamed up...\""""},{""text"":""\""I keep pushing my archery skills to the limit. My dive is ideal, but the ensuing ascent is not as smooth as I wish it was. I must return to the Flight Range again tomorrow. There, I will become stronger. Better. I won't rest until I succeed. The Rito children look up to me. I hear they wish to start training at the Flight Range too. Perhaps it's not a bad idea to allow everyone to use my training space. These are dangerous times, after all. Tomorrow I will try a new strategy I've been devising to control the updraft. I refuse to believe it's impossible.\""""},{""text"":""\""There is a persistent rumor in town that Calamity Ganon's resurrection is imminent. It can't be true... Right? A few years ago, scientists dug up an ancient mechanical beast called Medoh. It was supposedly used to fight Ganon. Hyrule's royal family is in search of someone to pilot the beast. They say to do so requires something beyond skill. They say one's soul must contain an incredible sacred power for a Divine Beast to recognize them as master. They should have just asked for me by name. To control the Divine Beast and defeat the Calamity...would finally allow me to prove myself to the world.\""""},{""text"":""\""Hyrule's princess stopped dawdling and asked me to pilot the Divine Beast. I asked what our plan is. I wish I hadn't. It is completely absurd. The Divine Beasts are little more than backup for some Hylian knight who has the honor of fighting Calamity Ganon. ME! A sidekick! I thought of declining, but then she looked me dead in the eye and held my gaze as she said... \""We must protect the precious life of this land from the Calamity's grasp at all costs. Hyrule needs you, Revali.\"" It was so corny, I almost died. But I won't soon forget the look in her eyes. She meant it with all of her heart. I thought Hylians only thought of themselves, but I suppose there's an exception to every rule. I'm going to accept, of course. But out of self-respect, I'm going to let her sweat it out a bit longer.\""""},{""text"":""\""Hyrule's princess is coming by to ask for my answer tomorrow. She will surely be overcome with joy when I accept. And her timing is exceptional. I am close. So close to mastering my new move and showing everyone what I'm capable of. When they see it, they'll know without doubt it should be ME fighting Ganon instead of that pathetic knight. I can see it now. The King and princess... AND the knight...all on their knees, begging me to defeat Ganon for them. They'll say, \""Please, Master Revali! Please use your otherworldly skills and intellect to defeat Calamity Ganon!\"" I look forward to that day.\""""},{""text"":""\""I journeyed to Hyrule Castle for an inauguration ceremony. I now bear the grand title of \""Champion.\"" Meaningless pomp, if you ask me. If true strength relied only on title and uniform, everyone would be a Champion. I do like the blue scarf, though... That annoyingly silent knight was as emotionless as usual. I can never tell what's on his mind. Likely nothing at all. Somehow I can't help but believe the stories about him beating adult knights in swordplay when he was only a child. Still, he doesn't stand a chance against me. There is no one alive who can keep up with my aerial combat. That reminds me. It's about time I came up with a fitting name for that new move I created. What kind of name would be worthy? Revali's...something. Tornado? Whirlwind? Masterpiece? Hmm.\""""},{""text"":""\""The princess came to the village on official business, along with her shadow, that insufferable knight. I tried to talk to him while the princess met with the elder, but he was his usual quiet self. Why do people like him so? I also gave him the privilege of seeing me perform Revali's Gale. Nothing. No reaction at all to my impressive feat. I showed it to him even knowing there was a chance of failure, since it's still so new. He must truly be slow-witted. I tried to provoke him into facing me, but to no avail. It's like talking to a stone. Our interactions were a waste of time, so I flew off to find solace with Medoh. What's wrong with that guy?\""""},{""text"":""\""Daruk informed me that we have been asked to escort the princess to Lanayru. We're to see the princess off at dawn at the mountain's base and meet her there when she returns at sunset. Must I participate in this nonsense? Though...I still remember that look on the princess's face. When she asked me to pilot the Divine Beast, she was not only determined... she seemed desperate. She's aware she can't fulfill her sacred duties, and anyone can see how it weighs on her. It's difficult for me to comprehend the troubles of the talentless, but... I'm trying. It's not that I dislike the princess. She tries her hardest. It's simply not good enough. No, I don't think I can spare the time to send her off in the morning, but perhaps I will fly over to greet her at sunset. Perhaps that alleged \""sealing power\"" will show her some mercy and finally awaken this time.\""""}]"
