link,link-href,author,text,text1
"Dwemer Schematics","https://www.imperial-library.info/content/dwemer-schematics","Author: 
                    Anonymous","[]","[{""text1"":""""},{""text1"":""""}]"
"Map of Red Mountain","https://www.imperial-library.info/content/map-red-mountain","Author: 
                    Bouyant Armigers","[]","[{""text1"":""Citadel Vemynal: northwest\nCitadel Tureynulal: northeast\nCitadel Dagoth: center\nCitadel Endusal: southwest\nCitadel Odrosal: southeast\nGhostgate: south""},{""text1"":""""}]"
