web-scraper-order,web-scraper-start-url,Name,Description
"1544977602-138","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 18, Chapter 3","Starfleet Intelligence reported that Hassan the Undying moved his base of operations to the former Orion homeworld. Observers did not believe that this was a sign of a break between Melani D'ian and her greatest ally, but suggested that Hassan was still acting on her orders.

""There's no reason for Melani to toss Hassan aside,"" said Blix Brol, an investigative reporter for the Federation News Service. ""If anything, the Emerald Empress wants someone that she trusts implicitly running Syndicate operations outside of Klingon space while she stays safe behind a wall of warriors."""
"1544977602-47","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 4, Chapter 2","Ambassador Spock returned to Romulus to take his place with the Unificationists. Leaders of the movement said that although they did not win the support of the Federation, they would continue to ""wage peace"" on Romulus.

On Stardate 60900.31, Fleet Commander Tomalak attacked Donatra's fleet at Xanitla. Tomalak's forces were soundly defeated in the battle, and he was dealt a further blow when Admiral Taris and the twelve ships under her command defected to the Imperial side."
"1544977602-194","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 29, Chapter 2","On Stardate 85365.28, years of instability and infighting in the Romulan Star Empire seemingly came to a close with the coronation of Empress Sela. The new empress would not have a praetor, and the Senate would serve at her pleasure.

""Security has clamped down in the capital,"" a Starfleet Intelligence source inside Romulan space said. ""The Romulans say that they have reason to believe that there may be an assassination attempt on the empress, but I think it's more than that. This is the first time Sela can show just how much control she has."""
"1544977602-62","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 6","Federation experts feared a three-way struggle for control of Romulus, but instead Donatra met with Sela and Rehaek to find a peaceful solution.

The three begrudgingly agreed to put their personal disputes aside for the good of the Empire, and the worlds of the Imperial Romulan State were folded back into the Romulan Star Empire. Donatra held onto the reins of power of the military and kept much of her forces safely off-world in case the peace didn't hold.

With the threat of civil war averted, the Senate opened debate on who to elect the new praetor. Sela, as Tal'aura's proconsul, was one of the leading candidates, and she made a play for the position. But rumors of her possible involvement in the plot to assassinate Tal'aura dogged her campaign, and when Donatra declined to endorse Sela's campaign her defeat was almost assured.

After an extensive debate, Senator Chulan was chosen to be the new praetor. He was a compromise candidate who was acceptable to, but not strongly supported by, any of the major powers. Federation analysts predicted that without the backing of a coalition of factions, Chulan would be a weak leader."
"1544977602-160","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 22, Chapter 5","A contingent of retired and current Starfleet officers, including Ambassador Worf, Admirals Beverly Crusher, Kathryn Janeway and Chakotay and retired Captains Ezri Dax and Tuvok appealed to the Federation Council to reconsider its position on the Klingon-Gorn war.

""The Undine threat is real,"" Admiral Chakotay told the Council. ""The Klingons know it. We should acknowledge it. Perhaps if we were helping them fight the Undine, more innocent people could be saved.""

""There's a war coming, and it will be a long one.""

Ambassador Sokketh of Vulcan led the opposition. ""While we acknowledge and are grateful for the service of these fine Starfleet officers, the threat of the Undine is overstated,"" Sokketh says. ""I'm sure, given time, that we will be able to come to a peaceful resolution with these ... observers from fluidic space.""

After the council closed its session, Ambassador Worf resigned his position with the Federation and returned to Qo'noS for good.

""I can no longer support a regime that willfully ignores danger and puts itself and its citizens in harm's way,"" Worf wrote in a letter to Federation President Aennik Okeg. ""I am Klingon, and I must follow the path of honor."""
"1544977602-211","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 3, Chapter 2","Although the planet had promise, many among the Vulcans argued that the ambient radiation counts were too high and the climate too unlike their Vulcan home. Still, the planet was relatively pleasant after the ordeals of living on the ships, so the Vulcans lingered.

Conflict soon broke out between those who wanted to keep searching for a home and those who were tired of wandering and wanted to settle on Dewa III. More than two hundred died in the fighting. The spilled blood soured support for a settlement on the world, and in a few weeks the Vulcans refilled their supplies and moved on.

After that, the planet was abandoned again. There was the occasional archaeological expedition or mining camp, but they never stayed long. Both the Klingons and Romulans marked it as a possible site for colonization, but there were better worlds and these plans never came to fruition."
"1544977602-151","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 20, Chapter 6","After the Klingons withdrew from the Khitomer Accords, Federation citizens were unceremoniously ejected from the Empire. It is only because of his ties to Qo'noS that Ambassador Worf was allowed to stay in the First City.

""J'mpok needs the ships and crews loyal to the House of Martok fighting the Gorn,"" a Federation government insider told the Tellar News Service. ""If he had kicked Worf out, Drex would have pulled his support.""

""Still, I don't think that the fight between Drex and J'mpok is over. The needs of the Empire may be foremost today. Tomorrow is a different story."""
"1544977602-9","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8","Complete the Path to 2409: Volume 8."
"1544977602-226","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 5, Chapter 7","Since I was a child, I've had people tell me how our way is better than Surak's. That when we are free to act and feel and love as we wish, only then are we complete. That suppressing our emotions is a betrayal of the soul.

If I could bury my emotions today, I would do it without hesitation.

Saken is gone.

We were to be bonded. I offered konn-ut-so'lik, and he accepted with love. The blood fever was upon me, so we proceeded immediately to the priestess to complete the rites.

Temen was waiting. He challenged. He had no right! Saken was my choice!

My fever died with my heart.

Temen still seeks to claim me. This time, I will act as my own champion.

Blood can only be avenged with blood."
"1544977602-167","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 23, Chapter 6","In Romulan space, trouble flared when General Velal appeared before the Romulan Senate and demanded that Praetor Taris resign before she was removed from office by force. Velal had the backing of many of the senators, although a vote of no confidence failed by a minor margin.

In response, Taris called for ships of the fleet loyal to the legitimate government of the Romulan Star Empire to engage those supporting the revolution. There were multiple skirmishes between the two groups, and when Sela's fleet re-enterd Romulan space in support Velal, the conflict moved into open warfare."
"1544977602-136","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 18, Chapter 1","An era ended when Geordi La Forge left Engineering for Command. La Forge was dividing his time between ship design and his duties with Starfleet for several years, but when the opportunity arrived to take his own command he could not turn it down. La Forge was promoted to captain of the U.S.S. Challenger, and recommended Commander Nog to be chief engineer of the U.S.S. Enterprise-E.

The promotion gave the first Ferengi in Starfleet another record. He was the first Ferengi to serve on Starfleet's flagship. Nog's example inspired other Ferengi, and the 2396 class at Starfleet Academy included four Ferengi cadets.

""We're seeing a dramatic change in the Ferengi culture,"" said Talsa Gray of the University of Alpha Centauri. ""Commerce and profit still play a huge role in who the Ferengi are, but the social reforms of Grand Nagus Rom and the example of his son are showing younger Ferengi that they can make their own choices. If you don't have the lobes for business, do something else."""
